anio,edad_mujer_grupo,edad_hombre_grupo,valor
2010,25 - 29,Menos de 15,0
2010,30 - 34,15-19,0
2010,30 - 34,20-24,3
2010,30 - 34,25-29,13
2010,30 - 34,30-34,73
2010,30 - 34,35-39,36
2010,30 - 34,40-44,13
2010,30 - 34,45-49,7
2010,30 - 34,50-54,2
2010,30 - 34,55-59,2
2010,30 - 34,60 y más,1
2010,30 - 34,Ignorado,50
2010,30 - 34,Menos de 15,0
2010,35 - 39,15-19,0
2010,35 - 39,20-24,1
2010,35 - 39,25-29,0
2010,35 - 39,30-34,9
2010,35 - 39,35-39,26
2010,35 - 39,40-44,30
2010,35 - 39,45-49,4
2010,35 - 39,50-54,3
2010,35 - 39,55-59,1
2010,35 - 39,60 y más,0
2010,35 - 39,Ignorado,33
2010,35 - 39,Menos de 15,0
2010,40 - 44,15-19,0
2010,40 - 44,20-24,0
2010,40 - 44,25-29,0
2010,40 - 44,30-34,0
2010,40 - 44,35-39,5
2010,40 - 44,40-44,20
2010,40 - 44,45-49,21
2010,40 - 44,50-54,5
2010,40 - 44,55-59,1
2010,40 - 44,60 y más,3
2010,40 - 44,Ignorado,23
2010,40 - 44,Menos de 15,0
2010,45 - 49,15-19,0
2010,45 - 49,20-24,0
2010,45 - 49,25-29,0
2010,45 - 49,30-34,0
2010,45 - 49,35-39,1
2010,45 - 49,40-44,5
2010,45 - 49,45-49,14
2010,45 - 49,50-54,9
2010,45 - 49,55-59,5
2010,45 - 49,60 y más,2
2010,45 - 49,Ignorado,15
2010,45 - 49,Menos de 15,0
2010,50 - 54,15-19,0
2010,50 - 54,20-24,0
2010,50 - 54,25-29,0
2010,50 - 54,30-34,0
2010,50 - 54,35-39,1
2010,50 - 54,40-44,0
2010,50 - 54,45-49,2
2010,50 - 54,50-54,10
2010,50 - 54,55-59,6
2010,50 - 54,60 y más,3
2010,50 - 54,Ignorado,8
2010,50 - 54,Menos de 15,0
2010,55 - 59,15-19,0
2010,55 - 59,20-24,0
2010,55 - 59,25-29,0
2010,55 - 59,30-34,0
2010,55 - 59,35-39,0
2010,55 - 59,40-44,1
2010,55 - 59,45-49,1
2010,55 - 59,50-54,1
2010,55 - 59,55-59,5
2010,55 - 59,60 y más,2
2010,55 - 59,Ignorado,3
2010,55 - 59,Menos de 15,0
2010,60 y más,15-19,0
2010,60 y más,20-24,0
2010,60 y más,25-29,0
2010,60 y más,30-34,0
2010,60 y más,35-39,0
2010,60 y más,40-44,0
2010,60 y más,45-49,0
2010,60 y más,50-54,2
2010,60 y más,55-59,2
2010,60 y más,60 y más,3
2010,60 y más,Ignorado,5
2010,60 y más,Menos de 15,0
2010,Ignorado,15-19,1
2010,Ignorado,20-24,7
2010,Ignorado,25-29,32
2010,Ignorado,30-34,43
2010,Ignorado,35-39,38
2010,Ignorado,40-44,30
2010,Ignorado,45-49,27
2010,Ignorado,50-54,9
2010,Ignorado,55-59,8
2010,Ignorado,60 y más,6
2010,Ignorado,Ignorado,2537
2010,Ignorado,Menos de 15,0
2010,Menos de 15,15-19,0
2010,Menos de 15,20-24,1
2010,Menos de 15,25-29,0
2010,Menos de 15,30-34,0
2010,Menos de 15,35-39,0
2010,Menos de 15,40-44,0
2010,Menos de 15,45-49,0
2010,Menos de 15,50-54,0
2010,Menos de 15,55-59,0
2010,Menos de 15,60 y más,0
2010,Menos de 15,Ignorado,0
2010,Menos de 15,Menos de 15,0
2011,15 - 19,15-19,4
2011,15 - 19,20-24,27
2011,15 - 19,25-29,22
2011,15 - 19,30-34,1
2011,15 - 19,35-39,2
2011,15 - 19,40-44,0
2011,15 - 19,45-49,0
2011,15 - 19,50-54,0
2011,15 - 19,55-59,0
2011,15 - 19,60 y más,1
2011,15 - 19,Ignorado,9
2011,15 - 19,Menos de 15,0
2011,20 - 24,15-19,2
2011,20 - 24,20-24,77
2011,20 - 24,25-29,94
2011,20 - 24,30-34,28
2011,20 - 24,35-39,7
2011,20 - 24,40-44,2
2011,20 - 24,45-49,1
2011,20 - 24,50-54,0
2011,20 - 24,55-59,1
2011,20 - 24,60 y más,1
2011,20 - 24,Ignorado,23
2011,20 - 24,Menos de 15,0
2011,25 - 29,15-19,0
2011,25 - 29,20-24,20
2011,25 - 29,25-29,94
2011,25 - 29,30-34,82
2011,25 - 29,35-39,32
2011,25 - 29,40-44,8
2011,25 - 29,45-49,6
2011,25 - 29,50-54,1
2011,25 - 29,55-59,0
2011,25 - 29,60 y más,1
2011,25 - 29,Ignorado,55
2011,25 - 29,Menos de 15,0
2011,30 - 34,15-19,0
2011,30 - 34,20-24,3
2011,30 - 34,25-29,23
2011,30 - 34,30-34,86
2011,30 - 34,35-39,54
2011,30 - 34,40-44,19
2011,30 - 34,45-49,6
2011,30 - 34,50-54,4
2011,30 - 34,55-59,0
2011,30 - 34,60 y más,0
2011,30 - 34,Ignorado,69
2011,30 - 34,Menos de 15,0
2011,35 - 39,15-19,0
2011,35 - 39,20-24,2
2011,35 - 39,25-29,4
2011,35 - 39,30-34,18
2011,35 - 39,35-39,38
2011,35 - 39,40-44,33
2011,35 - 39,45-49,9
2011,35 - 39,50-54,3
2011,35 - 39,55-59,1
2011,35 - 39,60 y más,1
2011,35 - 39,Ignorado,37
2011,35 - 39,Menos de 15,0
2011,40 - 44,15-19,0
2011,40 - 44,20-24,1
2011,40 - 44,25-29,0
2011,40 - 44,30-34,2
2011,40 - 44,35-39,13
2011,40 - 44,40-44,27
2011,40 - 44,45-49,24
2011,40 - 44,50-54,11
2011,40 - 44,55-59,3
2011,40 - 44,60 y más,1
2011,40 - 44,Ignorado,29
2011,40 - 44,Menos de 15,0
2011,45 - 49,15-19,0
2011,45 - 49,20-24,0
2011,45 - 49,25-29,0
2011,45 - 49,30-34,1
2011,45 - 49,35-39,1
2011,45 - 49,40-44,6
2011,45 - 49,45-49,24
2011,45 - 49,50-54,12
2011,45 - 49,55-59,6
2011,45 - 49,60 y más,3
2011,45 - 49,Ignorado,34
2011,45 - 49,Menos de 15,0
2011,50 - 54,15-19,0
2011,50 - 54,20-24,0
2011,50 - 54,25-29,0
2011,50 - 54,30-34,0
2011,50 - 54,35-39,0
2011,50 - 54,40-44,1
2011,50 - 54,45-49,4
2011,50 - 54,50-54,10
2011,50 - 54,55-59,6
2011,50 - 54,60 y más,6
2011,50 - 54,Ignorado,16
2011,50 - 54,Menos de 15,0
2011,55 - 59,15-19,0
2011,55 - 59,20-24,0
2011,55 - 59,25-29,0
2011,55 - 59,30-34,0
2011,55 - 59,35-39,0
2011,55 - 59,40-44,0
2011,55 - 59,45-49,0
2011,55 - 59,50-54,2
2011,55 - 59,55-59,7
2011,55 - 59,60 y más,6
2011,55 - 59,Ignorado,9
2011,55 - 59,Menos de 15,0
2011,60 y más,15-19,0
2011,60 y más,20-24,0
2011,60 y más,25-29,0
2011,60 y más,30-34,0
2011,60 y más,35-39,0
2011,60 y más,40-44,0
2011,60 y más,45-49,1
2011,60 y más,50-54,2
2011,60 y más,55-59,1
2011,60 y más,60 y más,12
2011,60 y más,Ignorado,3
2011,60 y más,Menos de 15,0
2011,Ignorado,15-19,1
2011,Ignorado,20-24,9
2011,Ignorado,25-29,35
2011,Ignorado,30-34,50
2011,Ignorado,35-39,40
2011,Ignorado,40-44,27
2011,Ignorado,45-49,27
2011,Ignorado,50-54,19
2011,Ignorado,55-59,13
2011,Ignorado,60 y más,14
2011,Ignorado,Ignorado,2813
2011,Ignorado,Menos de 15,0
2011,Menos de 15,15-19,0
2011,Menos de 15,20-24,0
2011,Menos de 15,25-29,0
2011,Menos de 15,30-34,0
2011,Menos de 15,35-39,0
2011,Menos de 15,40-44,1
2011,Menos de 15,45-49,0
2011,Menos de 15,50-54,0
2011,Menos de 15,55-59,0
2011,Menos de 15,60 y más,0
2011,Menos de 15,Ignorado,0
2011,Menos de 15,Menos de 15,0
2012,15 - 19,15-19,6
2012,15 - 19,20-24,41
2012,15 - 19,25-29,17
2012,15 - 19,30-34,8
2012,15 - 19,35-39,1
2012,15 - 19,40-44,1
2012,15 - 19,45-49,0
2012,15 - 19,50-54,0
2012,15 - 19,55-59,0
2012,15 - 19,60 y más,0
2012,15 - 19,Ignorado,2
2012,15 - 19,Menos de 15,0
2012,20 - 24,15-19,7
2012,20 - 24,20-24,108
2012,20 - 24,25-29,125
2012,20 - 24,30-34,53
2012,20 - 24,35-39,10
2012,20 - 24,40-44,7
2012,20 - 24,45-49,2
2012,20 - 24,50-54,0
2012,20 - 24,55-59,0
2012,20 - 24,60 y más,0
2012,20 - 24,Ignorado,26
2012,20 - 24,Menos de 15,0
2012,25 - 29,15-19,2
2012,25 - 29,20-24,30
2012,25 - 29,25-29,124
2012,25 - 29,30-34,117
2012,25 - 29,35-39,28
2012,25 - 29,40-44,4
2012,25 - 29,45-49,4
2012,25 - 29,50-54,1
2012,25 - 29,55-59,0
2012,25 - 29,60 y más,1
2012,25 - 29,Ignorado,49
2012,25 - 29,Menos de 15,0
2012,30 - 34,15-19,0
2012,30 - 34,20-24,5
2012,30 - 34,25-29,46
2012,30 - 34,30-34,115
2012,30 - 34,35-39,68
2012,30 - 34,40-44,29
2012,30 - 34,45-49,4
2012,30 - 34,50-54,1
2012,30 - 34,55-59,1
2012,30 - 34,60 y más,1
2012,30 - 34,Ignorado,78
2012,30 - 34,Menos de 15,0
2012,35 - 39,15-19,0
2012,35 - 39,20-24,0
2012,35 - 39,25-29,8
2012,35 - 39,30-34,27
2012,35 - 39,35-39,58
2012,35 - 39,40-44,61
2012,35 - 39,45-49,9
2012,35 - 39,50-54,3
2012,35 - 39,55-59,4
2012,35 - 39,60 y más,5
2012,35 - 39,Ignorado,63
2012,35 - 39,Menos de 15,0
2012,40 - 44,15-19,1
2012,40 - 44,20-24,2
2012,40 - 44,25-29,1
2012,40 - 44,30-34,3
2012,40 - 44,35-39,15
2012,40 - 44,40-44,42
2012,40 - 44,45-49,33
2012,40 - 44,50-54,20
2012,40 - 44,55-59,3
2012,40 - 44,60 y más,4
2012,40 - 44,Ignorado,42
2012,40 - 44,Menos de 15,0
2012,45 - 49,15-19,0
2012,45 - 49,20-24,0
2012,45 - 49,25-29,0
2012,45 - 49,30-34,1
2012,45 - 49,35-39,0
2012,45 - 49,40-44,4
2012,45 - 49,45-49,22
2012,45 - 49,50-54,19
2012,45 - 49,55-59,5
2012,45 - 49,60 y más,4
2012,45 - 49,Ignorado,19
2012,45 - 49,Menos de 15,0
2012,50 - 54,15-19,0
2012,50 - 54,20-24,0
2012,50 - 54,25-29,1
2012,50 - 54,30-34,1
2012,50 - 54,35-39,0
2012,50 - 54,40-44,3
2012,50 - 54,45-49,4
2012,50 - 54,50-54,13
2012,50 - 54,55-59,7
2012,50 - 54,60 y más,3
2012,50 - 54,Ignorado,11
2012,50 - 54,Menos de 15,0
2012,55 - 59,15-19,0
2012,55 - 59,20-24,0
2012,55 - 59,25-29,0
2012,55 - 59,30-34,0
2012,55 - 59,35-39,1
2012,55 - 59,40-44,0
2012,55 - 59,45-49,1
2012,55 - 59,50-54,6
2012,55 - 59,55-59,6
2012,55 - 59,60 y más,10
2012,55 - 59,Ignorado,7
2012,55 - 59,Menos de 15,0
2012,60 y más,15-19,0
2012,60 y más,20-24,0
2012,60 y más,25-29,0
2012,60 y más,30-34,0
2012,60 y más,35-39,1
2012,60 y más,40-44,1
2012,60 y más,45-49,0
2012,60 y más,50-54,0
2012,60 y más,55-59,0
2012,60 y más,60 y más,12
2012,60 y más,Ignorado,7
2012,60 y más,Menos de 15,0
2012,Ignorado,15-19,0
2012,Ignorado,20-24,7
2012,Ignorado,25-29,39
2012,Ignorado,30-34,53
2012,Ignorado,35-39,49
2012,Ignorado,40-44,47
2012,Ignorado,45-49,21
2012,Ignorado,50-54,23
2012,Ignorado,55-59,17
2012,Ignorado,60 y más,22
2012,Ignorado,Ignorado,3184
2012,Ignorado,Menos de 15,0
2012,Menos de 15,15-19,0
2012,Menos de 15,20-24,0
2012,Menos de 15,25-29,0
2012,Menos de 15,30-34,0
2012,Menos de 15,35-39,0
2012,Menos de 15,40-44,0
2012,Menos de 15,45-49,0
2012,Menos de 15,50-54,0
2012,Menos de 15,55-59,0
2012,Menos de 15,60 y más,0
2012,Menos de 15,Ignorado,0
2012,Menos de 15,Menos de 15,0
2013,15 - 19,15-19,6
2013,15 - 19,20-24,37
2013,15 - 19,25-29,19
2013,15 - 19,30-34,14
2013,15 - 19,35-39,3
2013,15 - 19,40-44,0
2013,15 - 19,45-49,1
2013,15 - 19,50-54,0
2013,15 - 19,55-59,0
2013,15 - 19,60 y más,0
2013,15 - 19,Ignorado,2
2013,15 - 19,Menos de 15,0
2013,20 - 24,15-19,0
2013,20 - 24,20-24,158
2013,20 - 24,25-29,205
2013,20 - 24,30-34,56
2013,20 - 24,35-39,12
2013,20 - 24,40-44,8
2013,20 - 24,45-49,3
2013,20 - 24,50-54,2
2013,20 - 24,55-59,1
2013,20 - 24,60 y más,0
2013,20 - 24,Ignorado,20
2013,20 - 24,Menos de 15,0
2013,25 - 29,15-19,0
2013,25 - 29,20-24,43
2013,25 - 29,25-29,153
2013,25 - 29,30-34,141
